CGPA,GPA,Average Assignment Marks,Average Project Marks,Attendance Percentage,Class Participation Credits,Extracurricular Activities,Achievements Credits,No. of Students in Class,Rank in Class,Certifications Count,Performance
5.54,5.63,96,23,65,51,0,8,51,44,4,53.18
7.81,8.96,46,78,83,97,0,47,47,22,6,93.74
6.09,6.86,51,97,96,98,0,15,38,25,7,76.33
9.4,7.99,40,48,54,43,1,44,32,7,7,79.69
7.75,9.07,39,40,93,59,0,3,99,64,3,64.11
7.74,6.05,58,45,85,80,1,36,80,62,11,80.84
7.37,7.74,94,27,52,33,1,79,85,59,20,92.26
8.37,8.28,92,56,67,89,1,16,85,8,19,90.56
6.12,5.95,97,62,76,41,1,57,46,34,7,75.87
9.28,5.12,20,46,71,99,1,36,92,87,16,86.68
7.55,6.78,72,11,85,22,0,19,43,2,1,56.19
5.32,6.2,34,23,83,33,0,86,65,59,17,80.78
6.67,8.08,89,21,74,16,0,15,41,4,10,59.98
8.82,5.84,41,83,82,42,1,53,85,37,10,81.49
9.17,5.88,29,36,98,2,0,54,33,13,13,70.91
9.28,7.07,18,34,63,40,1,98,66,12,19,99.0
9.45,8.43,28,58,55,81,0,28,85,11,7,83.89
7.09,5.46,42,94,65,38,1,29,81,15,4,64.49
8.06,9.12,60,27,98,16,1,52,53,8,14,80.65
8.3,7.71,79,68,74,4,0,5,100,5,3,55.45
9.32,5.25,10,56,67,84,1,98,49,8,4,99.0
5.16,7.54,86,86,62,56,0,48,70,22,20,85.34
9.15,8.51,98,37,71,30,0,7,90,61,19,72.42
9.33,8.83,69,33,75,13,1,66,34,5,10,85.31
7.59,7.66,52,24,93,16,1,22,82,67,13,62.58
7.58,8.26,65,21,55,74,1,30,67,12,7,78.4
6.42,8.61,87,58,54,71,0,11,55,34,20,78.12
5.89,8.65,31,49,75,50,0,35,88,78,3,66.6
8.6,8.06,74,100,71,77,0,22,31,28,16,87.31
5.29,9.75,55,96,90,84,0,47,98,94,0,83.36
7.78,6.72,22,20,67,48,1,96,81,9,19,97.31
9.05,7.38,64,82,75,85,0,59,86,28,1,93.72
9.01,5.55,22,17,84,40,1,38,85,39,1,64.89
8.54,8.24,79,89,59,24,0,4,37,31,19,69.14
5.82,8.55,30,27,89,25,1,95,78,30,18,90.74
8.01,7.78,25,60,70,2,0,8,40,26,0,47.83
5.31,7.49,26,51,94,67,1,65,55,50,16,85.93
5.06,6.37,85,13,99,63,1,51,61,50,5,72.86
8.22,5.99,54,44,88,53,1,65,49,25,7,83.9
9.04,6.92,43,24,89,94,1,2,91,77,2,69.65
8.39,5.2,30,56,58,29,1,31,76,20,10,65.17
7.19,7.28,28,83,96,68,0,50,85,23,17,89.14
7.95,8.72,21,79,56,37,1,8,89,60,2,60.18
5.93,6.44,61,13,67,32,0,63,54,44,6,68.98
9.08,5.65,74,37,98,89,1,87,53,40,20,99.0
5.51,5.39,54,58,95,24,0,60,69,52,17,72.74
8.99,9.64,70,69,56,9,0,54,98,58,14,83.01
8.46,7.45,32,87,79,89,0,10,80,58,4,74.88
8.4,8.75,72,99,50,47,0,79,41,4,4,95.68
5.13,9.64,96,72,86,35,0,22,58,33,4,66.16
5.46,7.52,13,51,72,74,1,55,82,43,1,75.53
8.63,9.22,65,28,73,53,0,21,35,27,8,74.08
6.94,5.94,39,20,56,68,0,87,66,4,19,95.68
6.71,6.75,11,75,71,45,1,94,31,2,2,87.08
9.36,8.63,75,47,90,39,1,17,88,27,7,73.72
5.59,5.79,21,52,71,99,0,27,89,57,16,76.56
7.38,5.78,50,67,53,97,1,33,57,1,13,85.41
5.19,7.74,19,97,89,67,0,84,42,41,3,87.34
7.87,9.3,25,43,60,23,1,99,33,15,13,94.82
9.14,6.36,35,50,96,7,0,88,42,12,18,89.45
7.57,5.82,30,23,96,49,0,86,31,1,10,88.21
5.67,7.97,41,22,64,2,0,55,38,20,1,58.4
6.13,8.62,63,40,52,29,1,34,34,15,2,63.51
5.92,8.73,20,70,58,27,1,14,34,33,10,57.96
7.47,8.98,85,80,86,93,0,75,48,17,10,99.0
8.63,9.33,32,43,97,0,1,31,88,36,15,70.08
7.67,6.49,42,11,56,5,0,95,58,19,16,83.2
5.38,6.09,73,36,85,77,1,42,58,29,17,81.05
8.26,6.19,14,12,58,97,0,66,56,19,7,89.46
6.81,7.14,83,57,75,68,0,5,82,42,19,73.49
5.24,8.92,22,44,84,22,1,43,61,48,17,69.57
7.79,6.4,13,55,57,52,0,51,62,21,0,71.27
7.45,9.53,58,92,51,46,0,90,77,77,7,96.39
8.22,5.22,41,100,81,51,0,1,45,43,2,57.14
7.36,5.51,39,22,57,69,0,51,53,36,8,75.63
7.69,6.35,69,46,62,54,0,32,98,89,9,71.41
7.86,7.02,95,22,60,7,0,89,67,26,8,82.89
8.01,7.99,49,87,58,15,1,89,50,49,18,92.8
7.44,7.87,55,25,56,76,1,4,77,56,12,69.42
6.13,7.07,95,51,79,65,1,5,82,59,15,69.26
5.76,5.71,68,44,52,38,0,74,97,14,7,76.85
6.51,9.11,27,12,93,63,0,6,30,7,3,61.68
7.54,6.57,36,23,63,74,0,91,30,9,11,96.45
5.67,6.74,68,93,71,92,1,89,62,52,4,98.19
5.32,7.01,54,30,88,10,1,62,53,12,16,72.13
6.36,6.88,48,82,61,96,0,26,40,5,10,81.04
7.21,6.36,64,49,69,43,0,97,75,28,16,96.19
7.24,8.41,43,94,77,78,0,84,41,5,10,99.0
7.95,8.27,46,99,99,10,1,10,40,4,18,68.55
8.33,6.94,56,34,54,50,0,83,94,85,9,89.34
8.85,8.96,48,68,51,83,1,81,86,4,15,99.0
7.2,7.13,26,34,98,47,0,37,71,33,10,71.36
7.22,6.71,88,80,77,51,0,9,36,7,10,68.72
5.32,6.93,61,91,95,49,1,93,60,45,11,93.1
7.21,8.88,97,44,80,23,0,11,32,22,1,58.85
7.36,9.74,60,66,87,71,0,34,79,9,19,91.72
5.8,8.88,33,36,91,56,0,38,61,12,13,76.73
7.49,9.6,88,10,77,4,0,86,94,6,5,83.97
5.16,8.06,48,69,85,88,0,83,99,33,15,99.0
6.57,8.62,68,57,78,96,1,81,58,23,3,99.0
5.4,5.37,80,39,91,5,1,61,99,65,0,59.83
8.39,9.77,80,33,53,8,1,98,98,70,15,96.13
8.21,7.3,52,27,78,93,1,26,37,21,5,79.48
9.13,7.82,33,99,80,49,1,55,50,50,5,84.74
6.94,7.19,61,88,86,29,1,21,62,3,14,70.15
6.39,5.91,87,16,70,67,1,3,81,3,19,68.26
8.82,9.52,79,12,58,30,1,29,44,21,3,70.24
7.02,6.64,96,10,61,0,0,21,70,41,19,59.05
7.01,8.84,75,75,63,43,1,4,77,27,5,64.34
9.48,6.59,95,17,85,7,1,36,33,25,0,62.87
7.79,5.03,61,77,87,44,1,19,31,15,6,64.52
8.79,6.88,46,15,58,49,0,49,92,55,14,79.86
6.99,9.4,76,46,56,12,0,100,48,47,10,90.3
9.49,8.34,61,16,66,41,0,84,42,20,14,96.7
6.62,8.42,47,71,98,18,0,72,74,18,11,82.91
5.52,7.48,65,34,92,15,1,4,87,81,4,46.69
8.12,8.12,96,33,66,54,0,45,41,32,9,82.07
8.03,9.74,50,69,58,5,0,64,78,1,7,79.91
6.54,5.12,80,70,62,78,0,4,75,51,8,64.46
5.38,6.84,13,36,73,58,1,76,90,71,9,80.28
7.81,6.94,70,16,60,0,0,38,65,8,7,60.87
8.96,8.55,89,59,86,33,0,89,68,11,10,99.0
6.03,8.0,42,23,50,84,1,43,81,44,12,81.33
9.43,5.8,100,47,85,83,0,48,40,14,17,96.36
6.85,8.27,54,21,99,100,0,33,42,12,8,84.74
7.42,7.99,72,53,55,23,1,89,35,6,3,86.38
7.72,9.53,49,40,80,82,1,72,30,22,19,99.0
6.79,8.44,76,81,93,95,1,88,57,42,8,99.0
7.13,6.39,33,46,84,100,0,3,39,12,15,74.51
7.15,9.31,15,52,56,70,0,37,37,10,18,85.04
7.09,5.19,89,76,60,16,0,35,86,69,8,62.39
6.17,6.78,35,94,75,50,1,23,69,28,3,64.43
6.92,7.26,37,84,59,23,1,0,45,31,9,53.84
6.58,5.25,62,51,88,3,1,62,87,60,18,71.74
5.57,8.53,26,36,79,20,0,79,46,26,10,77.62
5.41,8.59,87,76,56,38,1,6,69,23,17,66.72
6.12,6.9,74,37,57,3,1,26,31,14,2,51.54
7.12,5.03,84,34,95,11,0,46,86,24,13,67.29
5.55,6.19,85,36,73,85,1,4,52,44,4,62.26
9.34,5.48,18,46,90,42,1,7,100,80,19,65.98
7.19,8.79,81,66,85,13,0,28,55,53,16,70.38
7.61,6.54,59,15,100,73,1,10,60,21,15,72.6
7.09,5.28,22,80,52,44,0,36,89,64,9,66.05
8.69,8.3,29,43,75,76,0,25,92,15,19,85.91
6.92,5.97,24,74,77,77,0,16,44,35,18,73.46
8.77,8.74,53,88,97,22,1,88,73,65,16,98.51
5.3,5.92,53,46,88,43,1,58,36,18,1,68.45
9.03,9.62,64,42,85,44,0,47,43,22,3,82.18
6.57,8.2,78,33,64,72,0,59,88,34,3,84.3
8.32,8.63,89,53,68,17,0,85,92,49,10,90.94
6.15,7.83,92,55,68,25,0,16,59,48,11,61.57
6.66,7.01,76,91,67,20,1,75,61,25,14,85.57
8.91,6.99,83,81,95,30,1,44,77,67,4,76.5
6.34,7.0,32,14,100,97,1,19,92,13,3,71.53
5.07,5.87,49,79,63,43,1,79,61,28,14,83.55
9.12,9.03,66,80,92,52,1,62,99,57,15,98.49
6.36,8.49,47,52,69,99,0,75,88,53,12,99.0
8.48,7.68,14,19,57,41,0,18,62,57,17,66.6
5.59,9.74,42,69,78,69,0,64,55,3,19,96.38
8.51,7.46,54,23,65,24,1,59,95,89,4,73.18
8.8,9.65,31,68,76,43,0,22,100,20,2,72.03
7.82,5.31,36,42,90,25,0,34,45,27,17,67.19
7.67,6.71,98,59,68,69,1,22,80,63,5,73.89
6.47,5.92,39,66,92,38,1,41,99,35,11,70.56
9.36,6.56,73,93,96,13,1,85,32,4,20,98.3
8.07,8.31,90,94,89,9,1,10,52,37,18,69.19
6.3,7.04,25,90,72,58,0,79,44,14,15,92.44
5.4,7.22,46,17,62,100,1,76,78,53,13,94.39
5.63,7.56,100,53,66,43,1,64,80,15,11,83.84
5.25,7.46,55,27,81,52,0,66,62,41,8,77.93
8.48,5.71,99,12,57,39,0,81,80,68,10,86.07
6.26,5.57,14,36,72,48,1,9,39,11,5,52.84
6.67,9.1,36,24,69,84,1,81,46,22,2,93.64
6.83,7.71,20,23,69,64,1,20,49,9,16,72.13
6.84,8.77,87,22,80,75,1,7,32,5,0,68.36
5.39,6.72,97,100,79,1,1,96,86,30,15,87.9
6.24,8.17,64,53,52,78,1,90,71,31,17,99.0
8.97,5.21,63,98,99,98,0,86,67,18,11,99.0
8.73,8.5,29,67,51,24,0,62,51,30,2,76.89
5.76,8.46,87,25,78,77,1,8,58,9,8,70.51
6.14,5.4,89,65,59,82,1,76,62,39,17,96.47
8.5,7.24,61,79,88,48,0,40,30,29,16,82.95
8.96,5.83,83,34,69,88,1,14,62,45,14,79.63
7.96,9.3,46,43,95,77,1,48,42,12,17,95.56
7.23,9.08,12,48,70,88,0,24,41,19,6,77.42
8.68,7.59,56,51,65,79,1,16,36,4,19,84.64
6.64,7.97,85,15,73,37,1,50,77,31,13,77.94
7.05,6.56,63,73,57,25,0,40,99,60,15,71.4
9.06,9.68,28,67,51,39,1,56,46,42,16,88.95
9.46,6.82,69,72,85,23,1,48,63,10,10,80.61
5.55,5.87,54,34,54,34,1,46,64,22,3,61.99
5.42,7.8,14,66,72,67,0,30,49,20,5,68.45
9.45,6.23,49,52,99,49,1,92,59,22,4,95.35
9.17,6.89,26,40,87,51,0,49,70,23,7,79.62
6.08,5.62,83,32,90,50,0,94,82,66,19,94.01
5.74,5.32,87,25,63,78,1,38,57,15,8,74.21
7.73,9.51,57,80,82,3,1,15,66,29,9,63.42
5.6,7.59,19,50,64,2,0,40,89,29,18,62.54
7.29,8.77,28,67,70,56,1,42,68,38,18,84.82
8.69,7.31,34,25,56,38,1,51,54,8,2,73.43
8.96,9.39,51,96,95,25,1,43,51,24,1,78.16
7.07,5.27,74,56,70,16,0,23,48,48,13,58.52
6.29,8.49,16,65,65,26,0,35,59,8,19,72.04
8.43,5.52,29,95,96,21,1,52,44,20,16,78.23
7.24,8.25,84,42,51,28,0,99,74,22,2,89.69
5.17,7.98,29,35,99,11,0,94,34,10,19,85.34
5.34,7.74,90,92,59,17,0,54,39,7,0,68.6
9.41,7.23,78,77,71,33,1,94,58,19,19,99.0
7.4,5.79,95,46,69,1,1,36,41,19,7,60.73
9.13,9.04,39,49,85,86,1,41,52,35,19,97.19
7.41,6.09,31,92,72,5,0,4,99,30,5,48.65
7.03,6.66,96,76,95,52,1,68,69,51,19,94.39
8.03,8.83,31,44,100,86,1,40,41,9,16,93.03
8.36,6.05,79,79,69,7,1,81,91,54,1,78.5
7.87,9.5,69,47,68,52,1,86,47,41,7,96.7
8.42,9.35,61,89,71,62,1,74,68,15,7,99.0
6.69,8.07,79,37,99,30,0,5,98,47,18,64.63
6.07,6.48,53,65,79,2,1,38,31,21,6,57.52
5.09,6.32,79,53,70,57,0,18,80,33,16,67.46
8.22,8.25,70,39,52,62,0,74,85,46,18,98.62
6.06,9.05,83,73,62,67,0,78,35,15,4,93.65
6.22,6.55,79,66,64,16,0,84,71,68,16,83.24
9.37,5.01,93,83,50,87,1,68,72,57,11,99.0
8.11,9.09,98,58,73,25,1,98,62,7,9,99.0
9.18,7.98,34,21,63,15,0,57,87,34,10,75.7
8.87,7.78,10,80,60,32,0,95,66,65,14,95.0
8.63,9.37,81,50,78,19,1,13,93,2,7,68.03
5.62,9.74,83,77,67,10,0,77,86,12,3,80.37
5.43,8.95,55,46,89,66,0,22,91,88,3,67.08
5.04,8.02,71,54,95,15,0,55,86,66,7,68.14
7.61,9.36,25,35,85,16,1,34,45,18,11,68.96
8.04,5.45,67,30,75,20,0,63,51,46,19,78.05
7.32,8.93,77,73,99,83,0,65,55,51,20,99.0
6.93,6.15,27,79,65,55,1,45,53,38,6,72.95
8.78,8.09,21,87,90,23,1,42,36,18,11,76.95
9.14,6.61,35,51,63,35,1,16,38,33,10,64.47
8.43,8.33,59,35,53,20,1,17,66,23,5,61.67
7.65,7.64,92,55,92,79,1,93,91,42,9,99.0
7.78,6.7,40,40,58,90,0,81,71,16,6,96.29
9.45,5.23,57,41,89,57,1,58,78,65,6,82.46
6.31,7.17,95,47,73,19,0,6,37,3,1,51.96
5.94,9.36,95,28,98,79,1,53,48,30,13,92.23
9.34,8.88,76,94,56,81,0,22,78,2,2,85.54
6.93,6.05,73,42,60,17,1,85,67,61,17,83.67
5.03,9.19,38,28,84,28,1,89,41,33,1,78.48
6.31,8.84,90,11,65,85,1,1,51,49,9,69.16
9.06,5.95,78,41,57,65,0,25,57,25,15,78.87
9.49,9.28,42,30,99,38,1,65,32,25,18,93.97
7.45,6.56,36,96,94,4,0,70,50,21,16,80.15
8.23,6.88,81,15,90,81,0,26,85,28,12,81.35
7.39,7.95,10,68,83,79,1,59,56,18,14,92.9
6.17,7.2,93,15,72,27,1,74,49,3,19,86.11
7.07,6.51,83,41,55,54,0,27,84,35,20,76.24
5.21,8.5,75,73,69,98,1,59,32,5,8,94.56
9.3,8.31,65,93,50,90,1,83,78,46,8,99.0
5.31,7.0,38,59,99,94,0,67,88,81,17,93.76
6.39,5.71,62,84,54,68,0,71,74,31,9,87.35
6.38,8.99,25,43,71,20,1,35,70,14,5,63.76
5.53,8.52,35,72,62,65,0,5,84,75,16,66.96
6.1,8.31,55,31,94,82,0,16,36,29,15,75.53
7.0,9.45,79,66,53,58,1,55,65,59,4,84.51
5.79,6.61,67,61,82,90,1,53,91,39,11,88.19
8.62,7.77,67,16,65,27,1,35,53,2,7,70.83
9.15,6.58,30,72,86,87,0,28,90,15,11,85.32
5.56,7.44,50,19,53,6,0,31,54,44,17,57.58
9.04,7.13,57,40,51,77,1,91,86,35,2,99.0
7.33,6.74,92,43,87,34,1,15,82,57,1,59.38
7.42,8.17,56,55,74,52,0,27,75,30,20,79.84
9.48,7.69,90,19,53,24,0,19,74,63,8,65.36
8.17,9.44,61,55,59,24,1,20,46,9,13,71.87
8.47,9.08,18,35,78,6,1,7,65,63,16,58.92
5.24,9.27,11,99,70,26,0,1,35,31,9,53.43
8.8,5.67,49,20,75,42,0,80,50,25,19,91.02
5.54,8.99,74,72,58,32,0,81,32,32,16,89.02
5.76,8.46,16,76,78,86,1,8,83,54,7,69.45
5.83,9.21,32,97,66,96,1,84,67,2,2,99.0
7.6,8.9,88,54,92,6,1,30,44,40,17,71.81
9.24,6.61,66,89,91,25,1,13,99,86,10,66.89
7.79,7.73,81,86,64,47,0,96,81,81,15,99.0
5.5,9.51,25,32,93,81,0,84,86,43,10,96.49
8.13,9.14,59,25,92,4,0,16,76,48,7,58.91
8.97,9.45,75,49,65,56,0,31,50,26,12,84.33
8.71,9.51,45,27,84,24,1,81,66,57,20,95.09
8.2,9.34,70,28,76,63,1,98,84,82,17,99.0
5.35,6.02,37,24,76,50,0,23,30,23,4,55.41
7.76,6.6,81,19,67,97,1,96,65,16,14,99.0
8.74,9.47,47,46,52,26,0,98,36,3,1,92.83
6.27,7.32,38,59,78,8,1,13,71,52,20,58.45
8.98,8.54,69,11,72,51,0,94,94,48,6,97.75
9.11,8.36,80,50,55,38,1,30,39,5,16,81.62
6.49,8.03,84,35,56,84,1,48,95,79,7,84.55
6.57,5.85,49,57,92,43,1,31,51,8,11,68.95
6.14,8.57,70,36,86,79,0,82,53,10,13,99.0
5.97,6.75,29,99,98,36,0,66,77,47,3,75.45
5.42,6.04,40,49,69,2,0,7,48,39,1,38.0
8.57,8.27,65,36,54,23,1,17,37,28,11,65.33
8.8,8.94,33,65,98,67,1,71,51,34,15,99.0
6.32,6.6,24,20,72,94,1,20,40,20,7,70.3
5.02,6.87,31,21,71,4,1,100,47,44,11,75.62
5.44,9.67,27,78,80,4,0,77,43,41,13,78.46
6.74,7.83,53,55,91,67,0,60,37,13,8,86.83
8.77,7.51,42,93,73,97,0,83,59,48,13,99.0
5.66,5.08,49,73,96,96,1,12,89,43,1,66.14
7.03,7.77,14,36,57,7,0,30,58,37,2,52.77
7.51,7.41,77,60,86,63,0,30,30,4,4,76.35
5.67,5.17,83,67,81,95,0,83,46,38,5,93.34
6.17,9.49,100,84,76,76,1,1,79,49,16,78.72
6.28,7.44,11,22,85,91,1,54,97,45,17,88.67
9.32,8.95,70,80,69,64,1,100,90,7,14,99.0
5.1,6.3,99,96,69,35,1,53,63,43,7,73.48
6.8,9.38,68,91,92,51,0,40,69,45,12,83.88
7.96,5.41,94,47,74,49,1,52,36,15,1,75.75
5.79,6.63,21,55,81,13,1,74,94,44,9,72.15
5.66,5.35,39,53,63,58,0,75,33,22,13,82.11
9.19,6.93,86,87,52,49,0,5,57,38,3,66.23
7.62,6.15,57,22,72,52,1,42,70,69,8,71.68
6.75,7.41,83,39,66,76,0,19,66,16,15,77.79
6.91,6.15,65,91,85,56,0,81,93,74,15,94.29
7.52,5.86,80,17,91,59,1,42,38,31,2,71.64
5.82,6.95,53,72,53,42,1,71,59,24,4,78.46
7.41,8.49,85,88,61,89,1,96,71,34,9,99.0
7.22,8.64,29,43,56,23,0,44,39,29,10,69.44
6.52,9.14,95,39,74,85,1,94,88,53,10,99.0
9.46,8.6,83,48,57,68,1,30,50,3,15,90.06
8.54,9.06,45,92,65,43,0,3,42,19,3,65.42
8.15,9.51,50,10,97,35,0,20,65,51,4,65.2
5.28,8.15,58,96,68,53,1,94,83,56,1,90.51
9.34,6.23,52,80,62,56,0,23,82,45,11,75.73
6.1,6.8,75,22,57,13,1,12,54,34,14,54.0
8.49,8.75,46,90,81,16,1,54,38,10,9,81.18
7.04,8.99,36,40,53,81,1,5,32,18,19,76.22
6.52,7.1,49,55,53,100,0,22,32,18,10,78.17
5.86,8.56,48,59,55,7,0,52,33,30,1,61.72
6.92,8.24,76,42,90,95,1,99,79,28,4,99.0
6.64,6.01,12,66,51,95,0,31,89,89,7,73.57
6.93,5.58,39,18,52,45,0,54,62,30,6,68.89
5.24,8.7,44,10,93,51,0,64,47,13,14,82.44
8.89,7.48,94,79,63,58,1,62,51,4,12,96.68
8.7,8.62,62,32,81,87,1,33,98,22,7,87.52
5.18,7.9,77,32,57,80,1,33,88,50,4,73.21
5.47,7.21,53,10,63,23,0,78,54,54,9,72.8
8.85,5.01,88,44,64,43,1,20,64,37,20,73.4
6.19,6.64,22,30,50,83,1,5,79,31,1,58.69
5.44,8.38,88,76,70,21,0,25,62,16,8,64.24
7.18,8.07,57,24,83,26,1,33,69,66,14,68.86
6.8,6.95,79,64,87,84,1,88,49,30,0,96.89
9.42,9.0,48,29,96,89,0,47,36,26,5,91.91
6.47,5.49,75,66,94,4,0,99,58,41,20,87.95
5.81,7.02,20,12,95,17,0,4,61,1,2,43.49
5.74,7.1,64,86,66,61,1,73,54,26,12,90.33
7.41,9.59,47,46,70,58,1,38,67,6,19,87.54
8.58,8.75,61,94,97,68,0,92,76,30,20,99.0
7.75,7.45,24,81,72,77,1,91,38,4,17,99.0
5.21,7.48,40,46,59,29,0,60,95,26,16,75.05
8.64,5.24,93,26,95,19,1,9,83,41,11,59.14
7.01,6.63,22,52,53,79,1,38,91,79,9,76.13
9.47,8.06,23,60,53,7,1,22,65,52,16,66.4
6.2,5.05,92,46,92,53,1,79,66,43,16,89.49
7.93,8.63,75,60,93,54,1,48,38,1,0,82.79
5.39,8.42,100,61,67,72,1,86,85,20,4,96.43
9.13,7.28,41,60,68,90,1,0,35,7,1,71.59
7.44,7.26,32,41,96,55,0,57,40,2,16,86.55
6.74,8.24,80,16,94,87,1,65,59,50,5,91.15
7.37,8.63,37,77,99,56,0,75,38,21,10,93.88
8.21,5.19,89,93,60,3,1,26,95,47,14,64.63
5.42,7.83,54,77,97,91,1,30,32,18,7,79.99
6.87,5.22,14,18,52,86,1,6,95,91,6,58.55
5.55,7.6,62,77,61,24,0,12,78,26,12,59.06
6.53,5.48,15,33,59,96,1,51,42,28,0,75.5
9.0,7.91,14,29,91,16,1,19,56,31,1,57.24
7.56,5.84,87,70,93,47,1,71,31,29,15,90.04
7.71,9.69,81,20,82,24,0,3,82,22,12,63.78
7.48,7.88,54,37,74,6,1,53,57,22,18,75.56
8.3,6.15,35,38,58,37,1,54,99,42,13,77.33
7.37,5.25,60,72,66,37,1,29,73,20,13,69.03
8.62,5.45,42,50,70,15,1,24,30,5,10,61.45
9.03,5.62,93,20,94,37,1,0,31,6,14,64.12
8.02,7.23,95,11,85,42,0,10,74,41,19,70.05
8.05,9.38,45,16,91,88,1,28,39,3,13,87.85
8.64,7.22,57,58,94,73,1,71,52,13,18,99.0
5.7,5.58,22,94,79,15,0,48,77,54,12,64.13
5.49,5.39,70,50,69,0,1,5,84,83,2,38.36
9.06,8.1,52,76,61,47,0,94,60,17,3,97.82
7.67,7.21,22,30,74,25,0,30,69,53,15,65.27
8.98,6.43,82,92,91,72,1,64,39,32,9,96.36
9.4,9.77,34,42,63,42,1,93,38,30,1,95.06
6.17,6.65,67,50,75,76,1,37,51,25,4,75.03
7.08,6.53,32,15,96,80,1,9,45,13,10,68.08
7.52,6.26,16,19,89,68,0,25,66,46,17,72.49
7.1,6.61,20,62,50,37,0,42,42,25,10,68.64
8.43,7.41,18,27,67,26,0,98,70,49,20,94.18
9.14,9.6,76,49,68,91,1,78,63,34,3,99.0
6.04,7.56,49,20,87,12,1,15,41,35,19,57.65
6.32,9.47,88,62,76,31,0,50,33,30,17,82.4
8.12,8.27,29,89,100,59,0,87,31,25,2,95.15
6.72,8.73,50,59,83,40,0,20,32,14,0,62.83
6.9,5.25,23,60,93,33,0,88,45,31,4,78.96
5.26,7.97,68,22,90,88,1,83,78,78,19,99.0
7.16,8.56,78,65,56,77,1,6,96,76,13,75.65
5.1,8.86,76,80,85,85,0,18,68,57,1,72.07
9.26,9.58,39,39,92,27,1,15,78,19,14,72.94
9.08,8.04,76,74,100,43,1,77,99,98,18,99.0
7.04,7.16,21,99,75,72,0,39,81,72,19,84.78
8.05,5.06,67,56,75,79,1,99,31,28,3,97.92
7.29,5.67,35,88,75,6,0,55,79,75,8,65.88
5.51,9.34,10,40,67,43,1,18,70,18,11,63.73
8.14,7.48,83,99,71,0,1,61,88,13,12,81.03
8.71,9.05,42,93,91,32,0,99,54,35,9,99.0
8.5,5.81,73,73,70,50,1,79,88,1,4,90.69
6.75,8.41,47,44,81,48,1,32,64,7,2,69.79
8.07,5.53,64,38,98,12,0,43,59,26,15,69.51
8.27,6.61,25,40,96,52,0,2,40,2,18,67.56
6.79,5.56,57,95,98,57,0,58,52,21,12,84.54
7.71,8.72,57,40,97,60,0,46,34,33,7,81.52
6.56,8.96,99,29,94,26,0,45,56,12,10,76.24
8.58,7.02,27,68,75,92,1,85,98,81,2,99.0
9.33,9.1,84,91,61,65,1,7,45,28,3,76.69
6.78,6.12,32,23,83,48,1,0,96,5,17,60.07
7.04,8.53,38,95,58,10,0,43,59,1,5,68.63
9.29,6.84,98,36,98,21,0,51,98,12,16,83.73
7.94,7.23,39,57,51,14,0,72,100,42,14,80.66
5.57,5.2,74,34,82,96,1,85,57,42,13,96.6
8.9,6.44,72,25,51,26,1,78,69,54,18,88.33
5.93,7.33,65,80,98,43,0,37,90,2,10,74.57
6.91,5.88,44,41,51,29,0,27,92,66,12,60.44
6.99,5.83,58,62,100,95,1,96,63,13,18,99.0
5.57,5.43,60,70,91,1,1,23,97,91,9,50.83
8.16,6.44,10,72,68,15,0,45,91,42,8,66.54
8.55,6.87,53,23,74,86,1,23,97,45,12,80.5
5.48,5.67,21,38,72,30,1,46,59,48,20,67.34
6.99,9.24,39,44,56,56,0,59,63,44,7,82.67
6.26,8.51,92,66,67,69,1,12,34,20,10,73.85
5.23,6.9,75,24,93,6,0,42,69,48,19,64.6
5.65,6.72,95,19,89,38,0,71,38,29,6,76.84
8.43,9.08,96,24,56,45,0,81,55,40,5,92.28
5.15,9.34,99,42,71,10,1,35,74,59,3,61.1
7.9,8.71,37,26,99,40,1,91,34,25,18,98.21
7.47,9.06,63,31,98,47,0,69,45,6,2,86.0
8.83,6.62,11,45,65,76,0,60,82,12,19,93.92
7.01,5.82,72,29,59,77,0,90,31,19,13,96.92
8.54,6.32,68,84,70,24,0,63,57,56,10,80.24
8.91,5.78,35,57,79,86,0,39,98,8,12,86.65
7.76,7.57,59,45,80,16,0,44,40,31,16,73.22
9.23,7.4,49,23,98,96,1,99,58,58,12,99.0
6.01,9.77,98,74,89,90,0,86,81,74,5,99.0
6.85,8.58,67,36,85,64,0,21,45,1,12,76.57
8.05,5.14,29,31,54,83,1,24,61,13,2,68.73
7.28,9.62,84,79,84,73,1,48,42,12,5,91.4
6.55,9.34,81,15,76,22,0,24,68,29,2,60.66
8.19,7.31,75,27,60,79,0,27,63,62,6,76.06
7.48,6.57,100,89,51,81,1,10,85,72,17,79.79
5.14,8.01,11,39,79,19,1,36,32,13,12,61.31
7.8,8.94,23,45,93,88,0,91,94,11,5,99.0
6.84,8.11,99,44,79,81,1,64,59,48,6,92.51
5.43,5.98,86,40,90,45,0,31,81,2,6,65.2
7.29,7.47,39,38,72,39,0,39,89,64,20,75.98
7.9,7.12,11,39,51,80,1,12,98,96,17,72.75
9.34,6.07,67,70,90,26,0,98,78,52,18,99.0
7.16,9.55,19,75,55,1,0,81,75,48,4,77.27
8.11,5.12,57,60,66,3,0,66,57,10,8,71.37
7.59,6.74,33,21,77,92,0,32,41,40,13,79.78
7.3,5.64,58,13,86,46,0,48,58,56,2,66.72
9.31,6.55,98,84,60,0,0,83,68,51,9,85.53
